date,avg_hourly_temperature,precipitation,avg_hourly_pressure_station,solar_radiation
2022-11-30,0.3676641150545117,0.26329113924050634,0.32007952286282304,0.008606811145510837
2022-11-29,0.30062630480167013,0.0,0.677932405566601,0.07770897832817338
2022-11-28,0.3428438877290652,0.0,0.42544731610338005,0.10854489164086688
2022-11-27,0.4400371143586175,0.03670886075949367,0.2624254473161045,0.16557275541795666
2022-11-26,0.4321503131524008,0.0,0.4393638170974157,0.2480185758513932
2022-11-25,0.3690559035026676,0.049367088607594936,0.40954274353876485,0.04848297213622291
2022-11-24,0.30735328230109027,0.0,0.6898608349900606,0.20176470588235296
2022-11-23,0.29575504523312457,0.0,0.7017892644135166,0.1538699690402477
2022-11-22,0.25400139178844816,0.0,0.6918489065606366,0.23613003095975232
2022-11-21,0.2630480167014614,0.0,0.580516898608348,0.08962848297213623
2022-11-20,0.17629320343307817,0.007594936708860759,0.5228628230616295,0.26557275541795666
2022-11-19,0.24681048480630946,0.013924050632911394,0.5109343936381698,0.17061919504643963
2022-11-18,0.1969380654140571,0.01139240506329114,0.4870775347912506,0.08272445820433437
2022-11-17,0.2338204592901879,0.0,0.44532803180914726,0.17808049535603715
2022-11-16,0.2964509394572025,0.060759493670886074,0.5009940357852898,0.10510835913312694
2022-11-15,0.28160519601020645,0.0,0.8330019880715724,0.1768730650154799
2022-11-14,0.30248202273254465,0.0,0.7475149105367791,0.18563467492260063
2022-11-13,0.3389004871259569,0.0,0.5208747514910534,0.14170278637770897
2022-11-12,0.5518441196938065,0.05189873417721518,0.2842942345924442,0.12065015479876162
2022-11-11,0.6416144745998609,0.2974683544303797,0.4115308151093444,0.1475232198142415
2022-11-10,0.6374391092553932,0.0,0.5944333996023872,0.17647058823529413
2022-11-09,0.4082579447923916,0.0,0.8608349900596437,0.32588235294117646
2022-11-08,0.3903966597077244,0.0,1.0,0.33659442724458205
2022-11-07,0.5666898631408026,0.0,0.6540755467196817,0.1908359133126935
2022-11-06,0.7311528647645558,0.021518987341772152,0.4970178926441342,0.2011455108359133
2022-11-05,0.7719786592437949,0.0,0.5069582504970178,0.2234984520123839
2022-11-04,0.6351194618418,0.0,0.6282306163021865,0.3291950464396285
2022-11-03,0.5228485270238924,0.0,0.7256461232604359,0.33148606811145515
2022-11-02,0.5423335652980747,0.0,0.7713717693836983,0.35030959752321983
2022-11-01,0.589190443052656,0.0,0.5447316103379727,0.2568421052631579
2022-10-31,0.5581071677105081,0.006329113924050633,0.5089463220675938,0.14678018575851393
2022-10-30,0.5223845975411737,0.0,0.6500994035785297,0.3446749226006192
2022-10-29,0.4678728833217351,0.0,0.8151093439363812,0.3657585139318886
2022-10-28,0.39109255393180237,0.0,0.9204771371769382,0.3513622291021672
2022-10-27,0.46300162375318954,0.0,0.7057654075546722,0.35142414860681115
2022-10-26,0.740199489677569,0.0,0.35387673956262233,0.24572755417956657
2022-10-25,0.6745534678728833,0.0,0.5526838966202767,0.16312693498452013
2022-10-24,0.627696590118302,0.0,0.681908548707753,0.36746130030959756
2022-10-23,0.6225933658083971,0.0,0.7236580516898599,0.39743034055727555
2022-10-22,0.642542333565298,0.0,0.5884691848906556,0.38659442724458204
2022-10-21,0.5091626072836929,0.0,0.5129224652087494,0.3485448916408669
2022-10-20,0.44792391556483413,0.0,0.37176938369781354,0.22609907120743034
2022-10-19,0.4154488517745303,0.024050632911392405,0.32405566600397506,0.012012383900928793
2022-10-18,0.4711203897007655,0.0037974683544303796,0.27833001988071615,0.2909287925696595
2022-10-17,0.5100904662491301,0.16455696202531644,0.2982107355864798,0.033065015479876156
2022-10-16,0.5256321039202041,0.0,0.48111332007952257,0.2231888544891641
2022-10-15,0.5404778473672002,0.0037974683544303796,0.475149105367791,0.1998761609907121
2022-10-14,0.5648341452099281,0.007594936708860759,0.4731610337972185,0.41944272445820435
2022-10-13,0.639526791927627,0.12658227848101267,0.34194831013916627,0.05798761609907121
2022-10-12,0.6311760612386916,0.0,0.5447316103379727,0.19780185758513932
2022-10-11,0.5393180236604036,0.0,0.6719681908548729,0.46959752321981424
2022-10-10,0.46091394108095574,0.0,0.6719681908548729,0.4360061919504644
2022-10-09,0.5075388540941776,0.002531645569620253,0.5487077534791247,0.366749226006192
2022-10-08,0.42959870099744835,0.0,0.6123260437375748,0.3315789473684211
2022-10-07,0.5379262352122478,0.03544303797468354,0.5228628230616295,0.28377708978328176
2022-10-06,0.6796566921827882,0.0,0.48508946322067814,0.2894736842105263
2022-10-05,0.6188819299466481,0.0,0.5626242544731639,0.49102167182662537
2022-10-04,0.5444212479703086,0.0,0.6719681908548729,0.49696594427244584
2022-10-03,0.5035954534910694,0.0,0.7892644135188895,0.5447678018575851
2022-10-02,0.5124101136627233,0.0,0.8051689860835012,0.5585448916408668
2022-10-01,0.5996288564138251,0.0,0.6878727634194846,0.3582352941176471
2022-09-30,0.5634423567617722,0.0,0.7594433399602387,0.548204334365325
2022-09-29,0.5404778473672002,0.0,0.8389662027833005,0.5221981424148606
2022-09-28,0.6056599396891673,0.0,0.6441351888667981,0.2009907120743034
2022-09-27,0.6188819299466481,0.006329113924050633,0.3439363817097423,0.2703095975232198
2022-09-26,0.6369751797726746,0.04430379746835443,0.23658051689860926,0.2636842105263158
2022-09-25,0.627000695894224,0.002531645569620253,0.3061630218687874,0.2915170278637771
2022-09-24,0.5859429366736256,0.0,0.5109343936381698,0.5878947368421052
2022-09-23,0.5193690559035027,0.0,0.5666003976143159,0.5231888544891641
2022-09-22,0.6295523080491765,0.0,0.3359840954274347,0.3565325077399381
