avg_hourly_temperature,precipitation,avg_hourly_pressure_station,solar_radiation,date
0.38672142368240936,0.0,0.3927958833619236,0.13759707911754696,2023-11-30
0.24982888432580427,0.0014771048744460858,0.4202401372212705,0.1427333766515053,2023-11-29
0.20716404289299567,0.0,0.35506003430531763,0.1893932361768619,2023-11-28
0.3686972393337897,0.0,0.25900514579759815,0.11754695380426375,2023-11-27
0.34656627880447183,0.003692762186115214,0.48542024013721985,0.15761626287942077,2023-11-26
0.25690166552589555,0.0,0.6466552315608922,0.22689439648503976,2023-11-25
0.17887291809263065,0.0,0.6174957118353355,0.27943315077818004,2023-11-24
0.35797399041752226,0.0,0.39965694682675945,0.06680280949286797,2023-11-23
0.3451973534109058,0.029542097488921712,0.3756432246998287,0.05408583186360964,2023-11-22
0.23796486424823182,0.03840472673559823,0.6689536878216131,0.11476221417741886,2023-11-21
0.22016883413187316,0.0,0.7530017152658672,0.29697701042730285,2023-11-20
0.32352270134611,0.0,0.43910806174957173,0.18116278350196477,2023-11-19
0.3401779603011636,0.0,0.4168096054888508,0.2817537671338841,2023-11-18
0.4992014601870865,0.017725258493353026,0.36020583190394717,0.020514248584424025,2023-11-17
0.43805612594113624,0.0,0.559176672384222,0.2810111699000588,2023-11-16
0.41934747889573354,0.0,0.5934819897084047,0.1602772363006281,2023-11-15
0.3657312343143966,0.008862629246676513,0.6689536878216131,0.14694142764318202,2023-11-14
0.25735797399041754,0.017725258493353026,0.6209262435677552,0.07231040564373899,2023-11-13
0.28473648186173856,0.0,0.7958833619210992,0.30922986478542036,2023-11-12
0.30390143737166325,0.0,0.7272727272727302,0.18806274946625823,2023-11-11
0.3988135979922428,0.010339734121122598,0.4819897084048037,0.1001268603607785,2023-11-10
0.32010038786219486,0.02141802067946824,0.3979416809605496,0.0539311241065627,2023-11-09
0.3141683778234086,0.0,0.5780445969125232,0.28896314861227146,2023-11-08
0.4389687428701803,0.053175775480059084,0.3396226415094361,0.12605588044184535,2023-11-07
0.3378964179785535,0.0044313146233382564,0.4819897084048037,0.07896283919675733,2023-11-06
0.3707506274241387,0.0,0.5677530017152677,0.22157244964262507,2023-11-05
0.4631530914898472,0.0,0.564322469982848,0.35056777746836226,2023-11-04
0.5147159479808351,0.005169867060561299,0.559176672384222,0.11398867539218417,2023-11-03
0.38398357289527724,0.0,0.6569468267581478,0.12011510257124293,2023-11-02
0.3123431439653206,0.0,0.5746140651801035,0.16993100034035705,2023-11-01
0.3207848505589779,0.0,0.5540308747855924,0.3012778860732077,2023-10-31
0.35477983116586814,0.010339734121122598,0.4545454545454568,0.09062780407809648,2023-10-30
0.40428929956650694,0.0,0.6157804459691256,0.1352145796590241,2023-10-29
0.6080310289755875,0.0,0.4939965694682691,0.2823725981620719,2023-10-28
0.7129819758156514,0.008862629246676513,0.45283018867924696,0.13063523005043473,2023-10-27
0.6794433036732832,0.059084194977843424,0.559176672384222,0.08657446084346669,2023-10-26
0.6415697011179557,0.020679468242245196,0.5385934819897074,0.08320183173984344,2023-10-25
0.5060460871549167,0.014032496307237812,0.6089193825042862,0.1306661716018441,2023-10-24
0.4344056582249601,0.0,0.5883361921097787,0.41823695040069314,2023-10-23
0.43326488706365507,0.05760709010339734,0.28987993138936474,0.09205111544292831,2023-10-22
0.5660506502395619,0.04431314623338257,0.12692967409948608,0.06460595934280146,2023-10-21
0.6395163130276067,0.04135893648449039,0.2761578044596895,0.17305609703270522,2023-10-20
0.5975359342915811,0.0,0.4819897084048037,0.3149231102447477,2023-10-19
0.540269221994068,0.0,0.5506003430531763,0.21863300225873325,2023-10-18
0.5103810175678759,0.0,0.46998284734133833,0.2507503326216777,2023-10-17
0.5685603467944331,0.0,0.34991423670669164,0.23988984807698258,2023-10-16
0.5242984257357974,0.0014771048744460858,0.2864493996569486,0.1489526284847922,2023-10-15
0.5519050878393794,0.0,0.41852487135506067,0.2759367554689192,2023-10-14
0.5363906000456309,0.0,0.5077186963979443,0.3176459667687738,2023-10-13
0.510837326032398,0.0,0.4459691252144111,0.33178625576286397,2023-10-12
0.540269221994068,0.022156573116691284,0.37049742710119915,0.2662211083263715,2023-10-11
0.5106091718001369,0.0066469719350073855,0.3259005145797609,0.14842662211083263,2023-10-10
0.487109285877253,0.07533234859675036,0.2367066895368808,0.12416844580587272,2023-10-09
0.5103810175678759,0.010339734121122598,0.14751286449399714,0.1705807729199542,2023-10-08
0.6187542778918549,0.16543574593796156,0.34305317324185225,0.08081933228132059,2023-10-07
0.7572438968742871,0.04135893648449039,0.42195540308748036,0.15968934682384975,2023-10-06
0.8131416837782341,0.0,0.51629502572899,0.34215167548500885,2023-10-05
0.8117727583846681,0.0,0.5763293310463133,0.4839877471456419,2023-10-04
0.8142824549395391,0.0,0.559176672384222,0.4914446610353043,2023-10-03
0.7337440109514031,0.0,0.6192109777015453,0.4818218385469848,2023-10-02
0.7364818617385354,0.0,0.6483704974271021,0.4293759089080727,2023-10-01
0.7132101300479124,0.0,0.6363636363636367,0.5187660509297937,2023-09-30
0.6710015970796258,0.0,0.6363636363636367,0.3556112503480925,2023-09-29
0.6397444672598677,0.0,0.6706689536878194,0.47204430830161825,2023-09-28
0.5986767054528861,0.0,0.7289879931389365,0.431479934403911,2023-09-27
0.6125941136208077,0.0,0.7547169811320771,0.49818991924255085,2023-09-26
0.6680355920602328,0.0,0.6500857632933119,0.5000464123271141,2023-09-25
0.7072781200091262,0.0,0.6072041166380799,0.5417865651783781,2023-09-24
0.6634725074150125,0.0,0.6638078902229871,0.4232185401776045,2023-09-23
